audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,1.0991060733795166,can you show me the control bar for playing music
/workspace/data/synthesized_audio/Q203.wav,1.2547316551208496,how do I set clear dialogue
/workspace/data/synthesized_audio/Q429.wav,1.7083311080932617,why should you read the safety instructions before using the TV
/workspace/data/synthesized_audio/Q267.wav,1.4091005325317383,how can I rent or buy a movie or TV show in Google TV app
/workspace/data/synthesized_audio/Q019.wav,1.2231299877166748,how to open the list of installed applications
/workspace/data/synthesized_audio/Q200.wav,1.2184464931488037,how do I select a sound Style
/workspace/data/synthesized_audio/Q011.wav,1.531186580657959,what dimensions should I consider when buying the wall mount
/workspace/data/synthesized_audio/Q153.wav,1.2093329429626465,how can I view photos stored on digital photo camera
/workspace/data/synthesized_audio/Q385.wav,0.918278694152832,what are the sounds specs
/workspace/data/synthesized_audio/Q106.wav,1.00547194480896,what can you tell me about antenna port
/workspace/data/synthesized_audio/Q372.wav,0.8779904842376709,how do I open Netflix
/workspace/data/synthesized_audio/Q166.wav,1.0695829391479492,how do I start the internet browser
/workspace/data/synthesized_audio/Q255.wav,1.3634130954742432,how to set up Philips wireless home speakers with ambilight
/workspace/data/synthesized_audio/Q178.wav,1.3705880641937256,how do I set dark details gamma
/workspace/data/synthesized_audio/Q047.wav,0.9472916126251221,how can I switch the TV on
/workspace/data/synthesized_audio/Q152.wav,1.6023621559143066,how can I have more information in watching or playing content from a USB storage device
/workspace/data/synthesized_audio/Q029.wav,1.628286361694336,how to open direct selection of options
/workspace/data/synthesized_audio/Q010.wav,1.4021992683410645,how to find assembly instructions of the TV stand
/workspace/data/synthesized_audio/Q114.wav,2.3761346340179443,how can I operate HDMI CC compatible devices with TV remote control
/workspace/data/synthesized_audio/Q181.wav,1.2615597248077393,how to set up HDR tone mapping
/workspace/data/synthesized_audio/Q036.wav,1.0356407165527344,how to insert digital sub channels
/workspace/data/synthesized_audio/Q099.wav,1.0385668277740479,how can I open the TV Guide
/workspace/data/synthesized_audio/Q309.wav,1.1855430603027344,how can I check how much storage is being used
/workspace/data/synthesized_audio/Q032.wav,1.0258758068084717,how to use the playback buttons
/workspace/data/synthesized_audio/Q398.wav,1.3345155715942383,what can I do if the standby light keeps blinking
/workspace/data/synthesized_audio/Q286.wav,1.0735194683074951,how can I turn on text to speech
/workspace/data/synthesized_audio/Q052.wav,1.314460039138794,how can I open the basic menu without the remote control
/workspace/data/synthesized_audio/Q008.wav,0.8909828662872314,how do I open the home screen and open an item
/workspace/data/synthesized_audio/Q306.wav,1.1728308200836182,how can I use the 24-hour format
/workspace/data/synthesized_audio/Q390.wav,1.655538558959961,how can I use more help functions to diagnose issues and get more information about the TV
/workspace/data/synthesized_audio/Q205.wav,0.8093962669372559,how do I set up custom AI equalizer
/workspace/data/synthesized_audio/Q196.wav,1.1968185901641846,how to set up motion blur reduction
/workspace/data/synthesized_audio/Q257.wav,1.199594497680664,how do I setup my Philips wireless home speakers to work with ambilight
/workspace/data/synthesized_audio/Q077.wav,0.7079956531524658,how can I set the content rating
/workspace/data/synthesized_audio/Q413.wav,1.5164697170257568,what can I do if HDMI ARC is not working properly
/workspace/data/synthesized_audio/Q334.wav,1.447986364364624,how can I view the Bluetooth register device information
