audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,0.16158056259155273,can you show me the control bar for playing music
/workspace/data/synthesized_audio/Q203.wav,0.1119546890258789,how do i set clear dialogue
/workspace/data/synthesized_audio/Q429.wav,0.37204670906066895,why should you read the safety instructions before using the tv
/workspace/data/synthesized_audio/Q267.wav,0.2603905200958252,how can i rent or buy a movie or tv show in google tv app
/workspace/data/synthesized_audio/Q019.wav,0.1993875503540039,how to open the list of installed applications
/workspace/data/synthesized_audio/Q200.wav,0.18541622161865234,how do i select a sound style
/workspace/data/synthesized_audio/Q011.wav,0.24741005897521973,what dimensions should i consider when buying the wall mount
/workspace/data/synthesized_audio/Q153.wav,0.26648545265197754,how can i view photos stored on digital photo camera
/workspace/data/synthesized_audio/Q385.wav,0.17467927932739258,what are the sound specs
/workspace/data/synthesized_audio/Q106.wav,0.19033145904541016,what can you tell me about antennaport
/workspace/data/synthesized_audio/Q372.wav,0.1826319694519043,how do i open netflix
/workspace/data/synthesized_audio/Q166.wav,0.19780564308166504,how do i start the internet browser
/workspace/data/synthesized_audio/Q255.wav,0.2895348072052002,how to set up philip's wireless home speakers with ambolite
/workspace/data/synthesized_audio/Q178.wav,0.21644067764282227,how do i set dark details gamma
/workspace/data/synthesized_audio/Q047.wav,0.19582319259643555,how can i switch the tv on
/workspace/data/synthesized_audio/Q152.wav,0.415088415145874,how can i have more information in watching or playing content from a u s b storage device
/workspace/data/synthesized_audio/Q029.wav,0.20931744575500488,how to open direct selection of options
/workspace/data/synthesized_audio/Q010.wav,0.2712433338165283,how to find assembly instructions of the t v stand
/workspace/data/synthesized_audio/Q114.wav,0.536430835723877,how can i operate h d m i c c compatible devices with tv remote control
/workspace/data/synthesized_audio/Q181.wav,0.18778753280639648,how to set up h d r tone mapping
/workspace/data/synthesized_audio/Q036.wav,0.19353270530700684,how to insert digital subchannels
/workspace/data/synthesized_audio/Q099.wav,0.17299342155456543,how can i open the tv guide
/workspace/data/synthesized_audio/Q309.wav,0.20906305313110352,how can i check how much storage is being used
/workspace/data/synthesized_audio/Q032.wav,0.179518461227417,how to use the playback buttons
/workspace/data/synthesized_audio/Q398.wav,0.23609185218811035,what can i do if the standby light keeps blinking
/workspace/data/synthesized_audio/Q286.wav,0.22745728492736816,how can i turn on text to speech
/workspace/data/synthesized_audio/Q052.wav,0.306821346282959,how can i open the basic menu without the remote control
/workspace/data/synthesized_audio/Q008.wav,0.2381443977355957,how do i open the home screen and open an item
/workspace/data/synthesized_audio/Q306.wav,0.2245931625366211,how can i use the twenty four hour format
/workspace/data/synthesized_audio/Q390.wav,0.3440110683441162,how can i use more help functions to diagnose issues and get more information about the t v
/workspace/data/synthesized_audio/Q205.wav,0.21847271919250488,how do i set up custom ai equalizer
/workspace/data/synthesized_audio/Q196.wav,0.2453479766845703,how to set up motion blur reduction
/workspace/data/synthesized_audio/Q257.wav,0.3419525623321533,how do i set up my philip's wireless home speakers to work with ambolite
/workspace/data/synthesized_audio/Q077.wav,0.20119833946228027,how can i set the content rating
/workspace/data/synthesized_audio/Q413.wav,0.2913796901702881,what can i do if h d m i e a r c is not working properly
/workspace/data/synthesized_audio/Q334.wav,0.29294729232788086,how can i view the bluetooth register device information
/workspace/data/synthesized_audio/Q230.wav,0.18965554237365723,how do i set up audio output
/workspace/data/synthesized_audio/Q023.wav,0.23896193504333496,how do i open the channel list while watching tv
/workspace/data/synthesized_audio/Q351.wav,0.218461275100708,how can i open the photo folder
/workspace/data/synthesized_audio/Q445.wav,0.22008848190307617,what is a m d freecinc premium
/workspace/data/synthesized_audio/Q359.wav,0.27318787574768066,what can you tell me about browsing three hundred sixty photophiles
/workspace/data/synthesized_audio/Q227.wav,0.2326064109802246,question how do i set up auto volume
/workspace/data/synthesized_audio/Q110.wav,0.29442858695983887,what can you tell me about h d m i arc and e arc
/workspace/data/synthesized_audio/Q421.wav,0.22647333145141602,what can i do if i'm unable to pair
/workspace/data/synthesized_audio/Q222.wav,0.25312232971191406,how do i set up drc dynamic range control
/workspace/data/synthesized_audio/Q226.wav,0.19086241722106934,how to set up room calibration
/workspace/data/synthesized_audio/Q248.wav,0.192138671875,how do i set up lounge light mode
/workspace/data/synthesized_audio/Q214.wav,0.2314291000366211,question how do i set up mimi sound personalization
/workspace/data/synthesized_audio/Q187.wav,0.3587169647216797,how to set wide colour gamut
/workspace/data/synthesized_audio/Q046.wav,0.16539764404296875,how do i clean the remote control
/workspace/data/synthesized_audio/Q442.wav,0.1757676601409912,what is google tv
/workspace/data/synthesized_audio/Q250.wav,0.1905357837677002,how do i set ambolite brightness
/workspace/data/synthesized_audio/Q256.wav,0.3084225654602051,how do i turn on off philip's wireless home speakers that work with ambolite
/workspace/data/synthesized_audio/Q301.wav,0.20399808883666992,how can assess date and time setting
/workspace/data/synthesized_audio/Q314.wav,0.15173792839050293,pre set time
/workspace/data/synthesized_audio/Q013.wav,0.25406551361083984,how do i insert the power cable into the power connector
/workspace/data/synthesized_audio/Q311.wav,0.1929302215576172,how can i set the power on behavior
/workspace/data/synthesized_audio/Q216.wav,0.3449516296386719,how do i control the sound settings of my h d m i sound system via easy link too
/workspace/data/synthesized_audio/Q324.wav,0.30130529403686523,how can i adjust picture and audio in retail mode settings
/workspace/data/synthesized_audio/Q009.wav,0.3265571594238281,how do i find the safety instructions
/workspace/data/synthesized_audio/Q405.wav,0.43404531478881836,what can i do if the picture settings change after a while
/workspace/data/synthesized_audio/Q363.wav,0.20093727111816406,what can you tell me about browsing music files
/workspace/data/synthesized_audio/Q426.wav,0.28071141242980957,what should i do to troubleshoot any problems with a philip's t v
/workspace/data/synthesized_audio/Q061.wav,0.2147986888885498,what are the conditions for the channelist copy
/workspace/data/synthesized_audio/Q199.wav,0.20708560943603516,how do i format the picture manually
/workspace/data/synthesized_audio/Q249.wav,0.2858705520629883,how do i set the duration in minutes of the lounge light mode
/workspace/data/synthesized_audio/Q072.wav,0.3419976234436035,how to unlock a channel
/workspace/data/synthesized_audio/Q284.wav,0.2910606861114502,how can i switch on accessibility
/workspace/data/synthesized_audio/Q270.wav,0.20813393592834473,what you can tell me about youtube music app
/workspace/data/synthesized_audio/Q177.wav,0.17325782775878906,how to set video level
/workspace/data/synthesized_audio/Q172.wav,0.17829585075378418,how to set automatic picture and movie style
/workspace/data/synthesized_audio/Q192.wav,0.16338849067687988,how do i set up noise reduction
/workspace/data/synthesized_audio/Q117.wav,0.14907383918762207,could you tell me more about easilink
/workspace/data/synthesized_audio/Q264.wav,0.14859342575073242,would you tell me about apse
/workspace/data/synthesized_audio/Q415.wav,0.28756213188171387,what can i do if u s b file playback is choppy
/workspace/data/synthesized_audio/Q224.wav,0.18512940406799316,how do i set up sound stage
/workspace/data/synthesized_audio/Q221.wav,0.19831132888793945,how do i set up surround sound
/workspace/data/synthesized_audio/Q005.wav,0.1974332332611084,how to do a search on google tv
/workspace/data/synthesized_audio/Q140.wav,0.24327707290649414,how can i adjust the volume in headphones
/workspace/data/synthesized_audio/Q313.wav,0.2560567855834961,how can i set the screen off to save energy consumption
/workspace/data/synthesized_audio/Q364.wav,0.18752455711364746,how can i playing music files
/workspace/data/synthesized_audio/Q316.wav,0.19297385215759277,what i need to use google cast
/workspace/data/synthesized_audio/Q308.wav,0.26354169845581055,how can i set the keyboard layout for u s b keyboard
/workspace/data/synthesized_audio/Q418.wav,0.25738096237182617,what can i do if the pc and internet connection are slow
/workspace/data/synthesized_audio/Q190.wav,0.16664457321166992,how does that sharpness
/workspace/data/synthesized_audio/Q409.wav,0.23726677894592285,what can i do if the computer picture is not stable
/workspace/data/synthesized_audio/Q403.wav,0.19858980178833008,what can i do about poor antenna reception
/workspace/data/synthesized_audio/Q252.wav,0.22440409660339355,how do i set ambolite wall color
/workspace/data/synthesized_audio/Q298.wav,0.24707627296447754,does this television contain open source software
/workspace/data/synthesized_audio/Q094.wav,0.21271896362304688,how can i create a list of favorite channels
/workspace/data/synthesized_audio/Q305.wav,0.1555769443511963,how can i set the time zone
/workspace/data/synthesized_audio/Q071.wav,0.30082249641418457,how to lock a channel
/workspace/data/synthesized_audio/Q223.wav,0.17159080505371094,how do i set up height speakers
/workspace/data/synthesized_audio/Q109.wav,0.16794896125793457,what can you tell me about copy protection
/workspace/data/synthesized_audio/Q057.wav,0.22667956352233887,how can i start a manual channel update on my tv
/workspace/data/synthesized_audio/Q356.wav,0.2165818214416504,how can i open three hundred sixty photos folder
/workspace/data/synthesized_audio/Q251.wav,0.16541481018066406,how do i set ambolite saturation
/workspace/data/synthesized_audio/Q437.wav,0.20850396156311035,transportation in low temperatures
/workspace/data/synthesized_audio/Q297.wav,0.22219204902648926,how can i display tv status information
/workspace/data/synthesized_audio/Q337.wav,0.23491764068603516,how can i update the remote control software
/workspace/data/synthesized_audio/Q107.wav,0.20929527282714844,what can you tell me about h d m i quality
/workspace/data/synthesized_audio/Q089.wav,0.19815754890441895,how can i find service navigation
/workspace/data/synthesized_audio/Q164.wav,0.19633936882019043,how to configure network and internet
/workspace/data/synthesized_audio/Q354.wav,0.2180314064025879,what can you tell me about browsing photo files
/workspace/data/synthesized_audio/Q217.wav,0.258345365524292,how do i set the sound style
/workspace/data/synthesized_audio/Q449.wav,0.3127171993255615,what is the copyright of the wifi alliance
