audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,3.518829345703125,Can you show me the control bar for playing music?
/workspace/data/synthesized_audio/Q203.wav,1.9316530227661133,How do I set clear dialogue?
/workspace/data/synthesized_audio/Q429.wav,4.561808824539185,Why should you read the safety instructions before using the TV?
/workspace/data/synthesized_audio/Q267.wav,4.331029891967773,How can I rent or buy a movie or TV show in Google TV app?
/workspace/data/synthesized_audio/Q019.wav,2.9337356090545654,How to open the list of installed applications.
/workspace/data/synthesized_audio/Q200.wav,2.1167526245117188,How do I select a sound style?
/workspace/data/synthesized_audio/Q011.wav,3.6849656105041504,What dimensions should I consider when buying the Wall Mount?
/workspace/data/synthesized_audio/Q153.wav,3.8603172302246094,How can I view photos stored on digital photo camera?
/workspace/data/synthesized_audio/Q385.wav,2.101339817047119,What are the sound specs?
/workspace/data/synthesized_audio/Q106.wav,2.486727714538574,What can you tell me about Antenna Port?
/workspace/data/synthesized_audio/Q372.wav,1.8463478088378906,How do I open Netflix?
/workspace/data/synthesized_audio/Q166.wav,2.2920761108398438,How do I start the Internet browser?
/workspace/data/synthesized_audio/Q255.wav,4.005831241607666,How to set up Philips Wireless Home Speakers with Ambalight.
/workspace/data/synthesized_audio/Q178.wav,2.1798555850982666,"How do I set dark details, gamma?"
/workspace/data/synthesized_audio/Q047.wav,1.693770170211792,How can I switch the TV on?
/workspace/data/synthesized_audio/Q152.wav,6.446619749069214,How can I have more information in watching or playing content from a USB storage device?
/workspace/data/synthesized_audio/Q029.wav,2.387852191925049,How to open direct selection of options.
/workspace/data/synthesized_audio/Q010.wav,3.6745386123657227,How to find assembly instructions of the TV stand.
/workspace/data/synthesized_audio/Q114.wav,6.160685062408447,How can I operate HDMI CC compatible devices with TV remote control?
/workspace/data/synthesized_audio/Q181.wav,1.9436399936676025,How to set up HDR tone mapping?
/workspace/data/synthesized_audio/Q036.wav,2.1629371643066406,How to Insert Digital Subchannels.
/workspace/data/synthesized_audio/Q099.wav,2.782672643661499,How can I open the TV Guide?
/workspace/data/synthesized_audio/Q309.wav,3.3442134857177734,How can I check how much storage is being used?
/workspace/data/synthesized_audio/Q032.wav,1.8787457942962646,How to use the playback buttons.
/workspace/data/synthesized_audio/Q398.wav,3.091732978820801,What can I do if the standby light keeps blinking?
/workspace/data/synthesized_audio/Q286.wav,2.3958957195281982,How can I turn on text to speech?
/workspace/data/synthesized_audio/Q052.wav,3.4550094604492188,How can I open the basic menu without the remote control?
/workspace/data/synthesized_audio/Q008.wav,3.4273157119750977,How do I open the home screen and open an item?
/workspace/data/synthesized_audio/Q306.wav,2.63175106048584,How can I use the twenty four hour format?
/workspace/data/synthesized_audio/Q390.wav,6.443684101104736,How can I use more help functions to diagnose issues and get more information about the TV?
/workspace/data/synthesized_audio/Q205.wav,2.667128801345825,How do I set up Custom AI Equalizer?
/workspace/data/synthesized_audio/Q196.wav,1.7760097980499268,How to set up motion blur reduction.
/workspace/data/synthesized_audio/Q257.wav,4.96954870223999,How do I set up my Philips Wireless Home Speakers to work with Ambalight?
/workspace/data/synthesized_audio/Q077.wav,1.7106609344482422,How can I set the content rating?
/workspace/data/synthesized_audio/Q413.wav,4.19152569770813,What can I do if HDMI EARC is not working properly?
/workspace/data/synthesized_audio/Q334.wav,4.493655204772949,How can I view the Bluetooth Registered Device information?
/workspace/data/synthesized_audio/Q230.wav,1.9328110218048096,How do I set up audio output?
/workspace/data/synthesized_audio/Q023.wav,3.1388206481933594,How do I open the channel list while watching TV?
/workspace/data/synthesized_audio/Q351.wav,2.7254393100738525,How can I open the photo folder?
/workspace/data/synthesized_audio/Q445.wav,2.1366257667541504,What is AMD FreeSync Premium?
